"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","max.hierarchy","average.polity.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1","1","1","0","0.40476190476190477","21","11","1","3","1","7","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1.04","2","1.0416666666666667","0.06","0.35","25","14","1","3","1","8","1.125"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","2","1.08","2","1.0869565217391304","0.06","0.35","25","14","1","3","1.3333333333333333","8","1.125"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1","1","1","0","0.40476190476190477","21","11","1","3","1","7","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","3","1.12","2","1.1363636363636365","0.06","0.35","25","14","1.0714285714285714","3","1.3333333333333333","8","1.125"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1","1","1","0","0.40476190476190477","21","11","1","3","1","7","1"
