"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","max.hierarchy","average.polity.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","1","1","1","1","0.047619047619047616","0.39285714285714285","21","7","1","6","1","8","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","1","1","1","1","0.07142857142857142","0.39285714285714285","21","13","1","4","1","4","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","2","1","1","1","0.07142857142857142","0.39285714285714285","21","13","1","4","1","4","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","3","1","1","1","0.07142857142857142","0.39285714285714285","21","13","1","4","1","4","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","1","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","4","1","1","1","0.07142857142857142","0.39285714285714285","21","13","1","4","1","4","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","2","1.0476190476190477","2","1.05","0.047619047619047616","0.39285714285714285","21","7","1.1428571428571428","6","1","8","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","1","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","2","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","2","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","3","1.0476190476190477","2","1.05","0.047619047619047616","0.39285714285714285","21","7","1.1428571428571428","6","1","8","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","5","1.0476190476190477","2","1.05","0.07142857142857142","0.39285714285714285","21","13","1.0769230769230769","4","1","4","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","3","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","3","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","4","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","4","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","6","1.1428571428571428","3","1.105263157894737","0.07142857142857142","0.39285714285714285","21","13","1.2307692307692308","4","1","4","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","5","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","5","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","7","1.1428571428571428","3","1.105263157894737","0.07142857142857142","0.39285714285714285","21","13","1.2307692307692308","4","1","4","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","6","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","8","1.1428571428571428","3","1.105263157894737","0.07142857142857142","0.39285714285714285","21","13","1.2307692307692308","4","1","4","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","7","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","9","1.1428571428571428","3","1.105263157894737","0.07142857142857142","0.39285714285714285","21","13","1.2307692307692308","4","1","4","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","8","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","10","1.1428571428571428","3","1.105263157894737","0.07142857142857142","0.39285714285714285","21","13","1.2307692307692308","4","1","4","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","6","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","4","1.0357142857142858","2","1.037037037037037","0.19642857142857142","0.39285714285714285","28","10","1.1","7","1","11","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","5","1.0357142857142858","2","1.037037037037037","0.19642857142857142","0.39285714285714285","28","10","1.1","7","1","11","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","9","1","1","1","0.047619047619047616","0.35714285714285715","21","12","1","4","1","5","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","7","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","6","1.0357142857142858","2","1.037037037037037","0.19642857142857142","0.39285714285714285","28","10","1.1","7","1","11","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","8","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","7","1.0357142857142858","2","1.037037037037037","0.17857142857142858","0.4017857142857143","28","10","1.1","7","1","11","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","9","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","10","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","8","1.1071428571428572","2","1.12","0.17857142857142858","0.4017857142857143","28","10","1.1","7","1","11","1.1818181818181819"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","11","1","1","1","0.023809523809523808","0.2976190476190476","21","8","1","4","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","9","1.1428571428571428","2","1.1666666666666667","0.17857142857142858","0.4017857142857143","28","10","1.2","7","1","11","1.1818181818181819"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","11","1.103448275862069","3","1.0740740740740742","0.22413793103448276","0.3879310344827586","29","17","1.1764705882352942","7","1","5","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","10","1","1","1","0.16071428571428573","0.36607142857142855","28","18","1","5","1","5","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","12","1.103448275862069","3","1.0740740740740742","0.20689655172413793","0.3879310344827586","29","17","1.1764705882352942","7","1","5","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","10","1.2142857142857142","3","1.2173913043478262","0.14285714285714285","0.4107142857142857","28","10","1.2","7","1","11","1.3636363636363635"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","1","1","1","false","false","12","1","1","1","0.16666666666666666","0.28703703703703703","27","9","1","6","1","12","1"
