"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","max.hierarchy","average.polity.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","0","0","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1","1","1","0.047619047619047616","0.4166666666666667","21","12","1","5","1","4","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1.0952380952380953","2","1.105263157894737","0.09523809523809523","0.32142857142857145","21","5","1","2","1","14","1.1428571428571428"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","2","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","3","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","4","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","1","1.1666666666666667","2","1.2","0.21666666666666667","0.2833333333333333","30","11","1.1818181818181819","2","1","17","1.1764705882352942"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","2","1.1785714285714286","2","1.2173913043478262","0.13392857142857142","0.42857142857142855","28","14","1.0714285714285714","8","1.25","6","1.3333333333333333"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","5","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","3","1.1785714285714286","2","1.2173913043478262","0.13392857142857142","0.42857142857142855","28","14","1.0714285714285714","8","1.25","6","1.3333333333333333"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","2","1.2666666666666666","3","1.3043478260869565","0.2","0.2833333333333333","30","11","1.2727272727272727","2","1","17","1.2941176470588236"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","6","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","7","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","3","1.3333333333333333","3","1.3181818181818181","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.2941176470588236"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","4","1.1785714285714286","2","1.2173913043478262","0.10714285714285714","0.42857142857142855","28","14","1.0714285714285714","8","1.25","6","1.3333333333333333"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","8","1","1","1","0","0.3333333333333333","21","9","1","3","1","9","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","2","1.1724137931034482","2","1.2083333333333333","0.1206896551724138","0.31896551724137934","29","9","1.1111111111111112","4","1.5","16","1.125"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","4","1.3333333333333333","3","1.3181818181818181","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.2941176470588236"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","5","1.1785714285714286","2","1.2173913043478262","0.10714285714285714","0.42857142857142855","28","14","1.0714285714285714","8","1.25","6","1.3333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","3","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","6","1.2142857142857142","2","1.2272727272727273","0.10714285714285714","0.42857142857142855","28","14","1.0714285714285714","8","1.375","6","1.3333333333333333"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","5","1.3666666666666667","3","1.3333333333333333","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.3529411764705883"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","7","1.2142857142857142","2","1.2272727272727273","0.10714285714285714","0.42857142857142855","28","14","1.0714285714285714","8","1.375","6","1.3333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","4","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","6","1.3666666666666667","3","1.3333333333333333","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.3529411764705883"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","8","1.2142857142857142","2","1.2272727272727273","0.10714285714285714","0.42857142857142855","28","14","1.0714285714285714","8","1.375","6","1.3333333333333333"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","9","1.0666666666666667","2","1.0714285714285714","0.08333333333333333","0.2916666666666667","30","14","1.0714285714285714","3","1.3333333333333333","13","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","7","1.3666666666666667","3","1.3333333333333333","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.3529411764705883"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","5","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","8","1.4666666666666666","4","1.4","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.5294117647058822"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","10","1.1333333333333333","2","1.1538461538461537","0.06666666666666667","0.3","30","14","1.1428571428571428","3","1.3333333333333333","13","1.0769230769230769"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","6","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","9","1.2162162162162162","3","1.2","0.17567567567567569","0.4391891891891892","37","19","1.0526315789473684","11","1.4545454545454546","7","1.2857142857142858"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","9","1.4666666666666666","4","1.4","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.5294117647058822"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","11","1.1333333333333333","2","1.1538461538461537","0.06666666666666667","0.3","30","14","1.1428571428571428","3","1.3333333333333333","13","1.0769230769230769"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","10","1.4666666666666666","4","1.4","0.2","0.2833333333333333","30","11","1.4545454545454546","2","1","17","1.5294117647058822"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","7","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","12","1.1333333333333333","2","1.1538461538461537","0.06666666666666667","0.3","30","14","1.1428571428571428","3","1.3333333333333333","13","1.0769230769230769"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","10","1.3513513513513513","3","1.3461538461538463","0.16216216216216217","0.44594594594594594","37","19","1.1578947368421053","11","1.5454545454545454","7","1.5714285714285714"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","8","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","11","1.5666666666666667","4","1.4736842105263157","0.18333333333333332","0.2916666666666667","30","11","1.4545454545454546","2","1","17","1.7058823529411764"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","13","1.1333333333333333","2","1.1538461538461537","0.06666666666666667","0.3","30","14","1.1428571428571428","3","1.3333333333333333","13","1.0769230769230769"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","11","1.4054054054054055","3","1.4","0.16216216216216217","0.44594594594594594","37","19","1.263157894736842","11","1.5454545454545454","7","1.5714285714285714"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","9","1.2413793103448276","3","1.2173913043478262","0.08620689655172414","0.3275862068965517","29","9","1.1111111111111112","4","1.5","16","1.25"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","1","1","1","false","false","12","1.5666666666666667","4","1.4736842105263157","0.18333333333333332","0.2916666666666667","30","11","1.4545454545454546","2","1","17","1.7058823529411764"
