"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","1","1","0.25","0.5952380952380952","21","11","1","3","1","7","1"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","1","1.0952380952380953","0.25","0.5952380952380952","21","11","1.1818181818181819","3","1","7","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","2","1","0.25","0.6071428571428571","21","11","1","3","1","7","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","1","1","0.25","0.5952380952380952","21","11","1","3","1","7","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","2","1.0476190476190477","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","3","1.0476190476190477","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","2","1.2380952380952381","0.25","0.6071428571428571","21","11","1.3636363636363635","3","1","7","1.1428571428571428"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","3","1.2380952380952381","0.25","0.6071428571428571","21","11","1.3636363636363635","3","1","7","1.1428571428571428"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","4","1.2380952380952381","0.25","0.6071428571428571","21","11","1.3636363636363635","3","1","7","1.1428571428571428"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","1","1.0952380952380953","0.25","0.6071428571428571","21","11","1.0909090909090908","3","1","7","1.1428571428571428"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","4","1.0952380952380953","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1.1428571428571428"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","3","1.0476190476190477","0.23809523809523808","0.6190476190476191","21","11","1.0909090909090908","3","1","7","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","5","1.1428571428571428","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1.2857142857142858"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","5","1.2857142857142858","0.25","0.6071428571428571","21","11","1.4545454545454546","3","1","7","1.1428571428571428"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","6","1.1428571428571428","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1.2857142857142858"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","6","1.2857142857142858","0.25","0.6071428571428571","21","11","1.4545454545454546","3","1","7","1.1428571428571428"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","7","1.2857142857142858","0.25","0.6071428571428571","21","11","1.4545454545454546","3","1","7","1.1428571428571428"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","7","1.1428571428571428","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1.2857142857142858"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","8","1.2857142857142858","0.25","0.6071428571428571","21","11","1.4545454545454546","3","1","7","1.1428571428571428"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","8","1.1428571428571428","0.25","0.5952380952380952","21","11","1","3","1.3333333333333333","7","1.2857142857142858"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","4","1.0952380952380953","0.23809523809523808","0.6190476190476191","21","11","1.1818181818181819","3","1","7","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","9","1.2083333333333333","0.25","0.59375","24","13","1.3076923076923077","3","1","8","1.125"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","2","1.1428571428571428","0.25","0.6190476190476191","21","11","1.1818181818181819","3","1","7","1.1428571428571428"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","5","1.0952380952380953","0.2261904761904762","0.6190476190476191","21","11","1.1818181818181819","3","1","7","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","6","1.0952380952380953","0.2261904761904762","0.6190476190476191","21","11","1.1818181818181819","3","1","7","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","9","1.1904761904761905","0.25","0.5952380952380952","21","11","1.0909090909090908","3","1.3333333333333333","7","1.2857142857142858"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","10","1.1904761904761905","0.25","0.5952380952380952","21","11","1.0909090909090908","3","1.3333333333333333","7","1.2857142857142858"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","11","1.1904761904761905","0.25","0.5952380952380952","21","11","1.0909090909090908","3","1.3333333333333333","7","1.2857142857142858"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","12","1.1428571428571428","0.25","0.5952380952380952","21","11","1.0909090909090908","3","1","7","1.2857142857142858"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","3","1.1904761904761905","0.25","0.6190476190476191","21","11","1.1818181818181819","3","1","7","1.2857142857142858"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","10","1.2083333333333333","0.25","0.6041666666666666","24","14","1.2857142857142858","3","1","7","1.1428571428571428"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","7","1.08","0.23","0.63","25","12","1.1666666666666667","4","1","9","1"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","8","1.08","0.23","0.63","25","12","1.1666666666666667","4","1","9","1"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","13","1.2380952380952381","0.25","0.5952380952380952","21","11","1.1818181818181819","3","1.3333333333333333","7","1.2857142857142858"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","14","1.2380952380952381","0.25","0.5952380952380952","21","11","1.1818181818181819","3","1.3333333333333333","7","1.2857142857142858"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","4","1.1904761904761905","0.25","0.6190476190476191","21","11","1.1818181818181819","4","1","6","1.3333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","11","1.25","0.25","0.6041666666666666","24","14","1.2857142857142858","3","1","7","1.2857142857142858"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","5","1.1904761904761905","0.25","0.6190476190476191","21","11","1.1818181818181819","4","1","6","1.3333333333333333"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","15","1.2857142857142858","0.25","0.5952380952380952","21","11","1.1818181818181819","3","1.3333333333333333","7","1.4285714285714286"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","12","1.2916666666666667","0.25","0.6041666666666666","24","14","1.2857142857142858","3","1","7","1.4285714285714286"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","16","1.380952380952381","0.25","0.5952380952380952","21","11","1.3636363636363635","3","1.3333333333333333","7","1.4285714285714286"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","9","1.08","0.23","0.62","25","13","1.1538461538461537","4","1","8","1"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","0.1","0.1","0.01","10","10","10","false","false","13","1.3333333333333333","0.25","0.6041666666666666","24","14","1.3571428571428572","3","1","7","1.4285714285714286"
