
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2857142857142858","0.25","0.5952380952380952","21","11","1.1818181818181819","3","1.3333333333333333","7","1.4285714285714286"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3333333333333333","0.25","0.6071428571428571","21","10","1.4","4","1.25","7","1.2857142857142858"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3214285714285714","0.25","0.6071428571428571","28","15","1.3333333333333333","3","1.3333333333333333","10","1.3"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2857142857142858","0.25","0.5952380952380952","21","11","1.3636363636363635","3","1","7","1.2857142857142858"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.380952380952381","0.25","0.6071428571428571","21","11","1.3636363636363635","3","1.3333333333333333","7","1.4285714285714286"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2380952380952381","0.21428571428571427","0.5952380952380952","21","11","1.3636363636363635","4","1","6","1.1666666666666667"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.4285714285714286","0.25","0.5833333333333334","21","11","1.6363636363636365","3","1.3333333333333333","7","1.1428571428571428"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.5714285714285714","0.25","0.6071428571428571","21","11","1.6363636363636365","3","1.3333333333333333","7","1.5714285714285714"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2142857142857142","0.25","0.6160714285714286","28","15","1.3333333333333333","3","1","10","1.1"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4285714285714286","0.25","0.6071428571428571","21","11","1.3636363636363635","3","1.3333333333333333","7","1.5714285714285714"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3214285714285714","0.25","0.625","28","15","1.4666666666666666","5","1.2","8","1.125"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.619047619047619","0.25","0.6071428571428571","21","10","1.6","4","1.5","7","1.7142857142857142"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.5238095238095237","0.25","0.6071428571428571","21","11","1.5454545454545454","3","1.3333333333333333","7","1.5714285714285714"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.380952380952381","0.23809523809523808","0.5952380952380952","21","11","1.3636363636363635","3","1","7","1.5714285714285714"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.2916666666666667","0.21875","0.6145833333333334","24","13","1.3846153846153846","4","1","7","1.2857142857142858"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4166666666666667","0.24305555555555555","0.6041666666666666","36","20","1.5","5","1","11","1.4545454545454546"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.7619047619047619","0.25","0.5952380952380952","21","10","1.9","4","1.25","7","1.8571428571428572"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.8571428571428572","0.25","0.6071428571428571","21","10","2","4","1.5","7","1.8571428571428572"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4285714285714286","0.25","0.625","28","15","1.4666666666666666","5","1.4","8","1.375"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.7777777777777777","0.25","0.5925925925925926","27","16","1.625","3","1.3333333333333333","8","2.25"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.7142857142857142","0.23809523809523808","0.6190476190476191","21","11","1.8181818181818181","4","1.25","6","1.8333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.8571428571428572","0.25","0.5952380952380952","21","10","1.9","4","1.5","7","2"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.6923076923076923","0.25","0.6057692307692307","26","13","1.8461538461538463","4","1.25","9","1.6666666666666667"
