"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.1904761904761905","0.25","0.5952380952380952","21","11","1.0909090909090908","3","1.3333333333333333","7","1.2857142857142858"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.5238095238095237","0.25","0.5714285714285714","21","11","1.5454545454545454","2","1.5","8","1.5"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2857142857142858","0.25","0.6071428571428571","21","11","1.0909090909090908","3","1.3333333333333333","7","1.5714285714285714"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3666666666666667","0.25","0.625","30","19","1.368421052631579","4","1.25","7","1.4285714285714286"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.3333333333333333","0.25","0.6071428571428571","21","10","1.3","4","1.25","7","1.4285714285714286"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4761904761904763","0.25","0.5952380952380952","21","11","1.3636363636363635","3","1.6666666666666667","7","1.5714285714285714"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.7619047619047619","0.25","0.5714285714285714","21","11","1.7272727272727273","2","1.5","8","1.875"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.8095238095238095","0.25","0.5833333333333334","21","10","1.8","2","1.5","9","1.8888888888888888"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.7619047619047619","0.25","0.6190476190476191","21","11","1.5454545454545454","4","1.75","6","2.1666666666666665"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.7142857142857142","0.23809523809523808","0.6071428571428571","21","11","1.5454545454545454","3","1.3333333333333333","7","2.142857142857143"
