"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2380952380952381","0.2261904761904762","0.6071428571428571","21","11","1.2727272727272727","4","1.25","6","1.1666666666666667"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3333333333333333","0.25","0.5952380952380952","21","11","1.2727272727272727","3","1","7","1.5714285714285714"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2380952380952381","0.25","0.5952380952380952","21","11","1.2727272727272727","3","1.3333333333333333","7","1.1428571428571428"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2380952380952381","0.25","0.6071428571428571","21","11","1.2727272727272727","3","1","7","1.2857142857142858"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.380952380952381","0.23809523809523808","0.6071428571428571","21","11","1.3636363636363635","3","1.3333333333333333","7","1.4285714285714286"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3103448275862069","0.2413793103448276","0.6120689655172413","29","15","1.2","4","1.25","10","1.5"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4761904761904763","0.2261904761904762","0.6071428571428571","21","11","1.7272727272727273","4","1.25","6","1.1666666666666667"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.4761904761904763","0.2261904761904762","0.6071428571428571","21","11","1.7272727272727273","4","1.25","6","1.1666666666666667"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3333333333333333","0.25","0.6309523809523809","21","11","1.4545454545454546","3","1.3333333333333333","7","1.1428571428571428"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.380952380952381","0.23809523809523808","0.5952380952380952","21","11","1.2727272727272727","3","1.3333333333333333","7","1.5714285714285714"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.4761904761904763","0.25","0.5952380952380952","21","11","1.3636363636363635","3","1.3333333333333333","7","1.7142857142857142"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.3793103448275863","0.25","0.6206896551724138","29","15","1.4","6","1.3333333333333333","8","1.375"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.2857142857142858","0.25","0.6071428571428571","21","11","1.3636363636363635","4","1","6","1.3333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.5238095238095237","0.23809523809523808","0.5952380952380952","21","12","1.5","3","1.3333333333333333","6","1.6666666666666667"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.5555555555555556","0.25","0.6018518518518519","27","15","1.6","4","1.25","8","1.625"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.7142857142857142","0.23809523809523808","0.5952380952380952","21","11","2","3","1.3333333333333333","7","1.4285714285714286"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.6","0.225","0.625","20","10","1.8","4","1.25","6","1.5"
